AOI,probability,task,emotion,file
Eyes,0.4,Categorisation,happy,34M_HA_X
Mouth,0.0,Categorisation,happy,34M_HA_X
Nose,0.4,Categorisation,happy,34M_HA_X
Eyes,0.0,Categorisation,angry,08F_AN_C
Mouth,0.2,Categorisation,angry,08F_AN_C
Nose,0.2,Categorisation,angry,08F_AN_C
Eyes,0.6,Categorisation,happy,01F_HA_X
Mouth,0.0,Categorisation,happy,01F_HA_X
Nose,0.4,Categorisation,happy,01F_HA_X
Eyes,0.6,Categorisation,angry,30M_AN_C
Mouth,0.0,Categorisation,angry,30M_AN_C
Nose,0.4,Categorisation,angry,30M_AN_C
Eyes,0.2,Categorisation,neutral,30M_NE_C
Mouth,0.0,Categorisation,neutral,30M_NE_C
Nose,0.8,Categorisation,neutral,30M_NE_C
Eyes,0.4,Categorisation,angry,28M_AN_C
Mouth,0.0,Categorisation,angry,28M_AN_C
Nose,0.0,Categorisation,angry,28M_AN_C
Eyes,0.2,Categorisation,neutral,23M_NE_C
Mouth,0.0,Categorisation,neutral,23M_NE_C
Nose,0.4,Categorisation,neutral,23M_NE_C
Eyes,0.6,Categorisation,happy,33M_HA_X
Mouth,0.0,Categorisation,happy,33M_HA_X
Nose,0.4,Categorisation,happy,33M_HA_X
Eyes,1.0,Categorisation,neutral,28M_NE_C
Mouth,0.0,Categorisation,neutral,28M_NE_C
Nose,0.0,Categorisation,neutral,28M_NE_C
Eyes,0.6,Categorisation,happy,22M_HA_X
Mouth,0.0,Categorisation,happy,22M_HA_X
Nose,0.2,Categorisation,happy,22M_HA_X
Eyes,0.8,Categorisation,neutral,24M_NE_O
Mouth,0.0,Categorisation,neutral,24M_NE_O
Nose,0.2,Categorisation,neutral,24M_NE_O
Eyes,0.2,Categorisation,angry,33M_AN_C
Mouth,0.4,Categorisation,angry,33M_AN_C
Nose,0.4,Categorisation,angry,33M_AN_C
